,Mutual information,Importance,Correlation,Variance,Abs Correlation,Colunas
0,0.05518710142486505,0.021675315397809924,0.048094808456625136,459048493.5986567,0.048094808456625136,Src Port
1,0.09083121154283624,0.02861640766453335,0.1331691131494197,371723719.47092366,0.1331691131494197,Dst Port
2,0.19819205830437725,0.011126480622717042,-0.007363518094356249,26.99031474558157,0.007363518094356249,Protocol
3,0.05675244746508047,0.010391794683024107,0.0061581820266836396,1467099414963772.5,0.0061581820266836396,Flow Duration
4,0.01989545819813876,0.003072923359485872,0.05378596457256191,34106.10128026092,0.05378596457256191,Total Fwd Packet
5,0.011198599797273669,0.0023751062370217704,0.04493954836351528,60409.785459446975,0.04493954836351528,Total Bwd packets
6,0.05990944934751141,0.0019488453984555,0.02952531370632252,54199553016.84368,0.02952531370632252,Total Length of Fwd Packet
7,0.025981013258519647,0.0013198544691468107,0.03301394356200574,106540393567.3634,0.03301394356200574,Total Length of Bwd Packet
8,0.05506476519826409,0.009618569405908814,0.03385229690418582,115796.69966814252,0.03385229690418582,Fwd Packet Length Max
9,0.02665135751278957,0.004784218316476446,-0.04723369062933978,4681.729176338307,0.04723369062933978,Fwd Packet Length Min
10,0.05567859994742386,0.006818479866979321,0.004596756229798328,16753.458155587654,0.004596756229798328,Fwd Packet Length Mean
11,0.043806468453960516,0.006897709794977113,0.019237456983358683,19903.046845387442,0.019237456983358683,Fwd Packet Length Std
12,0.04356775007930014,0.007961665478588368,-0.018961071385212143,239272.2410381539,0.018961071385212143,Bwd Packet Length Max
13,0.01906326408117076,0.005690568165924267,-0.06655309552475695,4928.35679340785,0.06655309552475695,Bwd Packet Length Min
14,0.04088923464203354,0.006718553677644111,-0.04111266576058304,73436.0207834899,0.04111266576058304,Bwd Packet Length Mean
15,0.03735977489943454,0.0069292244742692344,-0.019890776191569003,43316.333423569136,0.019890776191569003,Bwd Packet Length Std
16,0.04614319134441214,0.003267189755479527,-0.023174574558984532,336198154111.1616,0.023174574558984532,Flow Bytes/s
17,0.05417425432628331,0.008102458094285725,0.08734549367664604,903433046.313918,0.08734549367664604,Flow Packets/s
18,0.05497226827036883,0.0053822043705112075,-0.034417866682481764,114517079185335.78,0.034417866682481764,Flow IAT Mean
19,0.04110177078388455,0.0044334864516199475,0.004441114323167785,58611188888148.2,0.004441114323167785,Flow IAT Std
20,0.07153696133910792,0.006289178592440234,-0.0032376141156837145,423339974907567.6,0.0032376141156837145,Flow IAT Max
21,0.05135088599649773,0.005003692592190322,-0.035893928300802284,98361134969328.8,0.035893928300802284,Flow IAT Min
22,0.04455975394951972,0.011664579181086371,0.01171266581047877,1417488209820006.8,0.01171266581047877,Fwd IAT Total
23,0.04344135762284518,0.005637100518585545,-0.021322058461581896,170081642687903.03,0.021322058461581896,Fwd IAT Mean
24,0.032108477744142494,0.0048708982405436425,0.01131818825317862,57561341536204.97,0.01131818825317862,Fwd IAT Std
25,0.05603817426635205,0.005629760110840675,0.010124155973934549,355894458781246.56,0.010124155973934549,Fwd IAT Max
26,0.041510518253726085,0.0032302731353527872,-0.02571014061049316,150291394798157.78,0.02571014061049316,Fwd IAT Min
27,0.02990913425558817,0.0056008496450403395,0.04781979309887404,950183683492865.4,0.04781979309887404,Bwd IAT Total
28,0.028718715487896507,0.003662007125371823,0.004830637823555388,106797617444063.23,0.004830637823555388,Bwd IAT Mean
29,0.018231765539717282,0.0017777762597055067,0.026662717939877983,45105775365544.95,0.026662717939877983,Bwd IAT Std
30,0.04232562169424137,0.0033276674921216987,0.02503816288268388,310016500807335.1,0.02503816288268388,Bwd IAT Max
31,0.01830551806087799,0.0018002850707673711,-0.009555744230259636,87320508110983.5,0.009555744230259636,Bwd IAT Min
32,0.004074551397303283,0.003712005974554234,0.007972484938312027,0.08579801291612603,0.007972484938312027,Fwd PSH Flags
33,0.0,0.0,,0.0,,Bwd PSH Flags
34,2.35895968958566e-05,0.0,,0.0,,Bwd URG Flags
35,0.07265541746384208,0.005970014554027154,0.048556413882279936,14867382.388988964,0.048556413882279936,Fwd Header Length
36,0.04414877862648581,0.003242774258502782,0.03561138894584818,33280453.845172964,0.03561138894584818,Bwd Header Length
37,0.053994052063092816,0.005763328352181197,0.054194342872518,559240060.2236235,0.054194342872518,Fwd Packets/s
38,0.044135353533967685,0.00986269241111846,0.12306996896245465,119176162.94460157,0.12306996896245465,Bwd Packets/s
39,0.02490786628060304,0.003847248679590797,-0.04894465665960525,3173.835878127187,0.04894465665960525,Packet Length Min
40,0.07272841916831553,0.009473837199764804,-0.00018120728551551608,271357.0149387509,0.00018120728551551608,Packet Length Max
41,0.08079043096579075,0.005980006317711789,-0.0260245396445538,32547.183184703954,0.0260245396445538,Packet Length Mean
42,0.06573029307766776,0.008073705074923158,-0.012110906634566378,43239.29748796312,0.012110906634566378,Packet Length Std
43,0.06586407542511319,0.007170877012025202,-0.01590569629051081,15727732812.013617,0.01590569629051081,Packet Length Variance
44,0.011465763634318948,0.00802062146806637,0.022207187017508536,0.13365380075789965,0.022207187017508536,FIN Flag Count
45,0.030070775805458364,0.014034602563057977,0.033867250663016074,0.19017114726721235,0.033867250663016074,SYN Flag Count
46,8.352214720797058e-05,0.0007208775158989161,-0.007466007119165191,0.00778384659584515,0.007466007119165191,RST Flag Count
47,0.0043328112299689785,0.004155971031068032,0.007972484938312027,0.08579801291612603,0.007972484938312027,PSH Flag Count
48,0.07627947810798275,0.008802991820612427,0.007382526085406691,0.24384268291740474,0.007382526085406691,ACK Flag Count
49,0.09562229450869797,0.003645374736131917,-0.005882760607443879,0.3997772023783796,0.005882760607443879,Down/Up Ratio
50,0.07527922566593426,0.005945542670525901,-0.033584026066739464,35857.51310836561,0.033584026066739464,Average Packet Size
51,0.05587412956939475,0.004919999834233128,0.0045967562297983214,16753.458155587654,0.0045967562297983214,Fwd Segment Size Avg
52,0.04081864018154446,0.00629537642777467,-0.04111266576058304,73436.02078348992,0.04111266576058304,Bwd Segment Size Avg
54,0.05997150430242337,0.002566475092539416,0.02952531370632252,54199553016.84368,0.02952531370632252,Subflow Fwd Bytes
56,0.025916903430679428,0.0011390911388781478,0.03301394356200574,106540393567.3634,0.03301394356200574,Subflow Bwd Bytes
57,0.1763961173914862,0.041519953345277465,-0.07715290509904596,612520690.4102843,0.07715290509904596,FWD Init Win Bytes
58,0.10443926645488856,0.010990855387380576,-0.030301640447222163,112830585.73746952,0.030301640447222163,Bwd Init Win Bytes
59,0.01358919014137716,0.0017148001872556375,0.0379891809834944,26921.393667605986,0.0379891809834944,Fwd Act Data Pkts
60,0.1904648181809068,0.07119803105737976,-0.08730371907400561,117.52326146425669,0.08730371907400561,Fwd Seg Size Min
61,0.022077008645940758,0.002999235509838045,0.022521280673017147,7811961179209.272,0.022521280673017147,Active Mean
62,0.00858013889532483,0.0009740032964404617,0.09012064609685473,310517911454.3516,0.09012064609685473,Active Std
63,0.02411024902180725,0.0015100644914220614,0.045297294077003065,8694962786877.05,0.045297294077003065,Active Max
64,0.0347151648118722,0.0011276712202969224,0.011188498980771363,7587285785334.723,0.011188498980771363,Active Min
65,0.031758758368368056,0.002646467221668877,-0.001628737032859442,347403362683158.8,0.001628737032859442,Idle Mean
66,0.008121069405773621,0.0015921448945885868,0.07615086882097581,12482312723106.568,0.07615086882097581,Idle Std
67,0.03570579352614667,0.004679228100886097,0.010871296333171843,381258455119112.0,0.010871296333171843,Idle Max
68,0.031078450886606882,0.005665285470631725,-0.014168332844340163,333054478838116.75,0.014168332844340163,Idle Min
